city,name,type,rating
Kolkata,Peaceful Trail,Market,3.7
Goa,Historic Place,Temple,4.3
Delhi,Iconic Trail,Palace,5.0
Mumbai,Serene View,Beach,4.1
Hyderabad,Beautiful Falls,Palace,4.4
Hyderabad,Serene Lake,Fort,4.2
Mumbai,Historic Point,Monument,4.9
Hyderabad,Scenic Point,Museum,3.9
Hyderabad,Scenic Square,Monument,4.1
Jaipur,Iconic Spot,Zoo,4.4
Manali,Historic Hill,Monument,3.9
Bangalore,Historic Hill,Adventure,4.6
Goa,Scenic Garden,Park,4.6
Bangalore,Beautiful Square,Zoo,4.7
Jaipur,Grand Square,Beach,4.3
Bangalore,Peaceful Place,Palace,3.5
Chennai,Serene Hill,Market,3.6
Bangalore,Serene Spot,Temple,3.9
Kolkata,Iconic Garden,Adventure,4.9
Hyderabad,Peaceful Spot,Fort,4.6
Goa,Serene Lake,Museum,4.0
Mumbai,Scenic Spot,Zoo,4.9
Kolkata,Majestic Hill,Zoo,4.5
Pune,Peaceful Square,Temple,4.3
Mumbai,Majestic View,Beach,5.0
Pune,Historic Lake,Fort,3.9
Goa,Grand Falls,Park,4.7
Kolkata,Famous Place,Palace,3.5
Delhi,Beautiful Hill,Adventure,4.3
Mumbai,Peaceful Lake,Zoo,3.7
Goa,Peaceful Lake,Monument,4.9
Delhi,Scenic Falls,Palace,4.6
Goa,Popular Spot,Zoo,4.4
Delhi,Majestic Lake,Temple,4.7
Manali,Iconic Square,Beach,4.3
Kolkata,Grand Trail,Monument,4.0
Goa,Grand Square,Monument,4.8
Kolkata,Serene View,Palace,3.6
Chennai,Popular Trail,Park,4.7
Pune,Majestic Garden,Temple,3.9
Pune,Peaceful Place,Zoo,4.7
Pune,Historic Point,Beach,4.8
Chennai,Beautiful Lake,Museum,4.3
Hyderabad,Beautiful Lake,Temple,3.8
Mumbai,Scenic Square,Temple,3.8
Pune,Popular Place,Beach,4.6
Chennai,Beautiful Lake,Museum,4.6
Bangalore,Famous Spot,Temple,4.8
Delhi,Scenic Place,Zoo,4.6
Jaipur,Popular Hill,Market,4.9
Chennai,Peaceful Square,Beach,3.8
Pune,Majestic Hill,Adventure,4.2
Pune,Peaceful Falls,Fort,4.3
Chennai,Historic Hill,Palace,3.8
Mumbai,Peaceful View,Fort,4.0
Manali,Peaceful Square,Adventure,4.4
Kolkata,Scenic Point,Museum,4.7
Hyderabad,Popular Point,Adventure,4.6
Pune,Serene Spot,Park,4.3
Jaipur,Historic Spot,Zoo,5.0
Bangalore,Serene Falls,Park,4.6
Kolkata,Popular Hill,Monument,3.7
Manali,Famous Point,Museum,4.0
Kolkata,Famous Point,Market,4.4
Goa,Popular Square,Market,4.9
Manali,Scenic Falls,Adventure,4.1
Delhi,Serene View,Monument,3.7
Mumbai,Serene Spot,Park,3.5
Goa,Famous Falls,Fort,4.5
Goa,Majestic Hill,Museum,3.9
Jaipur,Serene Square,Park,4.0
Kolkata,Iconic View,Palace,4.4
Goa,Iconic Place,Adventure,4.3
Goa,Scenic Trail,Adventure,4.6
Jaipur,Majestic Lake,Fort,4.7
Delhi,Iconic Place,Adventure,4.1
Chennai,Majestic Spot,Market,4.8
Chennai,Grand Falls,Temple,4.7
Kolkata,Famous Garden,Park,4.8
Goa,Majestic Spot,Zoo,4.3
Jaipur,Historic Spot,Museum,4.3
Mumbai,Historic View,Zoo,4.0
Delhi,Iconic Garden,Palace,4.4
Hyderabad,Iconic Square,Zoo,3.6
Delhi,Iconic Point,Museum,3.6
Hyderabad,Famous Hill,Palace,4.1
Chennai,Grand Point,Palace,4.1
Jaipur,Iconic Spot,Temple,4.7
Jaipur,Iconic Hill,Market,4.9
Kolkata,Grand Lake,Market,4.9
Pune,Majestic Trail,Temple,3.9
Delhi,Majestic Point,Market,3.6
Jaipur,Iconic Point,Park,4.8
Hyderabad,Peaceful Place,Museum,4.1
Delhi,Peaceful Hill,Market,3.7
Pune,Grand Hill,Palace,4.3
Chennai,Peaceful Point,Market,4.4
Pune,Beautiful Point,Museum,4.3
Hyderabad,Iconic Point,Palace,4.2
Delhi,Historic Trail,Fort,3.9
